Ablp1	2L	100.000	21	0	0	1	21	3554383	3554403	1.88e-04	42.1	21
Ablp2	2L	100.000	21	0	0	1	21	3555472	3555452	1.88e-04	42.1	21
Ablp_F2	2L	100.000	20	0	0	1	20	3553277	3553296	6.18e-04	40.1	20
Ablp_R2	2L	100.000	21	0	0	1	21	3556898	3556878	1.88e-04	42.1	21
CG5151_F1	3L	100.000	19	0	0	1	19	16276301	16276283	0.002	38.2	19
CG5151_F1	3L	94.737	19	1	0	1	19	21003260	21003242	0.48	30.2	19
CG5151_F1	3L	94.737	19	1	0	1	19	10705529	10705547	0.48	30.2	19
CG5151_F1	3L	94.737	19	1	0	1	19	12152666	12152684	0.48	30.2	19
CG5151_F1	3R	100.000	19	0	0	1	19	27091578	27091596	0.002	38.2	19
CG5151_F1	2R	94.737	19	1	0	1	19	22931290	22931272	0.48	30.2	19
CG5151_F1	2R	94.737	19	1	0	1	19	10569332	10569350	0.48	30.2	19
CG5151_F1	2L	94.737	19	1	0	1	19	20943482	20943464	0.48	30.2	19
CG5151_R1	3L	100.000	19	0	0	1	19	16275282	16275300	0.002	38.2	19
